,Codigo_Empresas,Codigo_Cliente,Estado_Entrega_Cliente,Codigo_Vendedores,Pedido,produto,Descr_Tabela,qtde,Vr_Unitario,Vr_Total,Data_Pedido,Data_Entrega,Status_Pedido,Tipo_Pedido_Desc
7999,04,43.633.601/0001-44,SP,011,00000089,LF1432,LONA FILTRO AS-140.CA-DUP 500X500 LISA (FUR)      ,46.0,49.0,2254.0,2011-10-26,2011-11-10,2,Vendas    
8000,04,43.633.601/0001-44,SP,015,00000089,LF1432,LONA FILTRO AS-140.CA-DUP 500X500 LISA (FUR)      ,46.0,49.0,2254.0,2011-10-26,2011-11-10,2,Vendas    
8001,04,43.633.601/0001-44,SP,011,00000089,LF1435,LONA FILTRO AS-140.CA-CAB 500X500 LISA (FUR)      ,4.0,26.0,104.0,2011-10-26,2011-11-10,2,Vendas    
8002,04,43.633.601/0001-44,SP,015,00000089,LF1435,LONA FILTRO AS-140.CA-CAB 500X500 LISA (FUR)      ,4.0,26.0,104.0,2011-10-26,2011-11-10,2,Vendas    
8003,04,02.147.467/0005-18,SP,011,00000090,LF0961,LONA FILTRO AS-130.CA-CAB 630X630 LISA (FUR)      ,5.0,34.0,170.0,2011-10-26,2011-11-10,2,Vendas    
8004,04,02.147.467/0005-18,SP,015,00000090,LF0961,LONA FILTRO AS-130.CA-CAB 630X630 LISA (FUR)      ,5.0,34.0,170.0,2011-10-26,2011-11-10,2,Vendas    
8005,04,02.147.467/0005-18,SP,011,00000090,LF0236,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,30.0,59.0,1770.0,2011-10-26,2011-11-10,2,Vendas    
8006,04,02.147.467/0005-18,SP,015,00000090,LF0236,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,30.0,59.0,1770.0,2011-10-26,2011-11-10,2,Vendas    
8007,04,01.824.763/0002-09,SP,011,00000091,LF0037,LONA FILTRO AS-130.CA-DUP 1200X1200 EMB.01 (FUR)  ,66.0,242.0,15972.0,2011-10-26,2011-11-25,2,Vendas    
8008,04,01.824.763/0002-09,SP,014,00000091,LF0037,LONA FILTRO AS-130.CA-DUP 1200X1200 EMB.01 (FUR)  ,66.0,242.0,15972.0,2011-10-26,2011-11-25,2,Vendas    
8009,04,01.824.763/0002-09,SP,011,00000091,LF0929,LONA FILTRO AS-130.CA-CAB 1200X1200 EMB.01 (FUR)  ,9.0,150.88,1357.92,2011-10-26,2011-11-25,2,Vendas    
8010,04,01.824.763/0002-09,SP,014,00000091,LF0929,LONA FILTRO AS-130.CA-CAB 1200X1200 EMB.01 (FUR)  ,9.0,150.88,1357.92,2011-10-26,2011-11-25,2,Vendas    
8011,04,73.181.646/0001-96,SP,011,00000092,LF0396,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,40.0,53.95,2158.0,2011-10-27,2011-11-10,2,Vendas    
8012,04,73.181.646/0001-96,SP,015,00000092,LF0396,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,40.0,53.95,2158.0,2011-10-27,2011-11-10,2,Vendas    
8013,04,48.539.407/0002-07,SP,011,00000093,LF0380,LONA FILTRO AS-130.CA-SOB 1200X1200 LISA (FUR)    ,100.0,115.65,11565.0,2011-10-27,2011-11-18,2,Vendas    
8014,04,48.539.407/0002-07,SP,015,00000093,LF0380,LONA FILTRO AS-130.CA-SOB 1200X1200 LISA (FUR)    ,100.0,115.65,11565.0,2011-10-27,2011-11-18,2,Vendas    
8015,04,47.595.863/0004-65,SP,011,00000094,LF0274,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,50.0,52.0,2600.0,2011-10-28,2011-11-22,2,Vendas    
8016,04,47.595.863/0004-65,SP,014,00000094,LF0274,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,50.0,52.0,2600.0,2011-10-28,2011-11-22,2,Vendas    
8017,04,47.595.863/0004-65,SP,011,00000094,LF0986,LONA FILTRO AS-130.CA-DUP 630X630 LISA (VEL)      ,60.0,52.0,3120.0,2011-10-28,2011-11-22,2,Vendas    
